file_name,rows,columns_count,column_names,time_column,min_year,max_year,missing_percent
sathwiksalian1515_17707452493140395.csv,4190,9,"Country, Year, State Name, Type Of Urban Lobal Body (Ulb) , Category Of Urban Lobal Body (Ulb), Weighted Average Own Revenue (UOM:INR(IndianRupees)), Scaling Factor:10000000, Median Own Revenue Per Capita (UOM:INR(IndianRupees)), Scaling Factor:1, Percentage Of Weighted Average Own Revenues To Revenue Expenditure (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Cities Where Own Revenues Meet Revenue Expenditure (UOM:%(Percentage)), Scaling Factor:1",Year,2015,2022,0.0
sathwiksalian1515_1770745277441344.csv,4934,10,"Country, State, Year, City, Amount Invested For Building Houses Under Pradhan Mantri Awas Yojana (UOM:INR(IndianRupees)), Scaling Factor:10000000, Amount Sanctioned For Building Houses Under Pradhan Mantri Awas Yojana (UOM:INR(IndianRupees)), Scaling Factor:10000000, Amount Released For Building Houses Under Pradhan Mantri Awas Yojana (UOM:INR(IndianRupees)), Scaling Factor:10000000, Houses Sanctioned Under Pradhan Mantri Awas Yojana Mission (UOM:Number), Scaling Factor:1, Houses Grounded Under Pradhan Mantri Awas Yojana Mission (UOM:Number), Scaling Factor:1, Houses Completed Construction Under Pradhan Mantri Awas Yojana Mission (UOM:Number), Scaling Factor:1",Year,2025,2025,0.38
sathwiksalian1515_17707452857091858.csv,36,12,"Country, Year, As On Date, State Name , Additional Information, Project Proposals Considered (UOM:Number), Scaling Factor:1, Sanctioned (UOM:Number), Scaling Factor:1, Grounded (UOM:Number), Scaling Factor:1, Completed Or Delivered  (UOM:Number), Scaling Factor:1, Investment (UOM:INR(IndianRupees)), Scaling Factor:10000000, Central Assistance Sanctioned  (UOM:INR(IndianRupees)), Scaling Factor:10000000, Central Assistance Released (UOM:INR(IndianRupees)), Scaling Factor:10000000",Year,2025,2025,8.56
sathwiksalian1515_17707840147074175.csv,216,5,"Country, State, Year, Condition Of House, Percentage Of Households (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,0.0
sathwiksalian1515_17707840304250104.csv,72,10,"Country, State, Year, Total Number Of Households (UOM:Number), Scaling Factor:1, Number Of Households Owned (UOM:Number), Scaling Factor:1, Percentage Of Households Owned (UOM:%(Percentage)), Scaling Factor:1, Number Of Households Rented (UOM:Number), Scaling Factor:1, Percentage Of Households Rented (UOM:%(Percentage)), Scaling Factor:1, Number Of Other Households (UOM:Number), Scaling Factor:1, Percentage Of Other Households (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,0.0
sathwiksalian1515_1770784041383848.csv,72,12,"Country, State, Year, Total Number Of Households (UOM:Number), Scaling Factor:1, Percentage Of Households Having No Exclusive Room (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having One Room (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Two Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Three Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Four Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Five Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Six Rooms And Above (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Four Rooms And Above (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,0.0
sathwiksalian1515_17707840553566458.csv,70,12,"Country, State, Year, Total Number Of Households (UOM:Number), Scaling Factor:1, Percentage Of Households Having No Exclusive Room (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having One Room (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Two Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Three Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Four Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Five Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Six Rooms And Above (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Four Rooms And Above (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,0.0
sathwiksalian1515_17707840681867187.csv,70,12,"Country, State, Year, Total Number Of Households (UOM:Number), Scaling Factor:1, Percentage Of Households Having No Exclusive Room (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having One Room (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Two Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Three Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Four Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Five Rooms (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Six Rooms And Above (UOM:%(Percentage)), Scaling Factor:1, Percentage Of Households Having Four Rooms And Above (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,0.0
sathwiksalian1515_17707840893830562.csv,32,6,"Country, Year, Country Or Region, Slum Population  (UOM:%(Percentage)), Scaling Factor:1, Urban Population With Improved Sanitation (UOM:%(Percentage)), Scaling Factor:1, Urban Population With Improved Water Sources (UOM:%(Percentage)), Scaling Factor:1",Year,1990,2010,17.71
sathwiksalian1515_17707841085646892.csv,16,6,"Country, Year, Type Of Area, Indicator, Absolute (UOM:Number), Scaling Factor:1, Slum Percentage (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,4.17
sathwiksalian1515_17707841396093798.csv,16,6,"Country, Year, Type Of Area, Indicator, Absolute (UOM:Number), Scaling Factor:1, Slum  (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,4.17
sathwiksalian1515_17707841557352133.csv,12,5,"Country, Year, Type Of Area, Indicator, Absolute (UOM:Number), Scaling Factor:1",Year,2001,2011,0.0
sathwiksalian1515_17707842314461617.csv,72,8,"Country, State, Year, Water Closet  (UOM:%(Percentage)), Scaling Factor:1, Pit Latrine (UOM:%(Percentage)), Scaling Factor:1, Other Latrine (UOM:%(Percentage)), Scaling Factor:1, Total House Holds With Latrines (UOM:%(Percentage)), Scaling Factor:1, No Latrine  (UOM:%(Percentage)), Scaling Factor:1",Year,2001,2011,0.0
sathwiksalian1515_1770784257775433.csv,36,12,"Country, Year, As On Date, State Name , Additional Information, Project Proposals Considered (UOM:Number), Scaling Factor:1, Sanctioned (UOM:Number), Scaling Factor:1, Grounded (UOM:Number), Scaling Factor:1, Completed Or Delivered  (UOM:Number), Scaling Factor:1, Investment (UOM:INR(IndianRupees)), Scaling Factor:10000000, Central Assistance Sanctioned  (UOM:INR(IndianRupees)), Scaling Factor:10000000, Central Assistance Released (UOM:INR(IndianRupees)), Scaling Factor:10000000",Year,2025,2025,8.56
sathwiksalian1515_17707842705654137.csv,4934,10,"Country, State, Year, City, Amount Invested For Building Houses Under Pradhan Mantri Awas Yojana (UOM:INR(IndianRupees)), Scaling Factor:10000000, Amount Sanctioned For Building Houses Under Pradhan Mantri Awas Yojana (UOM:INR(IndianRupees)), Scaling Factor:10000000, Amount Released For Building Houses Under Pradhan Mantri Awas Yojana (UOM:INR(IndianRupees)), Scaling Factor:10000000, Houses Sanctioned Under Pradhan Mantri Awas Yojana Mission (UOM:Number), Scaling Factor:1, Houses Grounded Under Pradhan Mantri Awas Yojana Mission (UOM:Number), Scaling Factor:1, Houses Completed Construction Under Pradhan Mantri Awas Yojana Mission (UOM:Number), Scaling Factor:1",Year,2025,2025,0.38
