country,state,year,water_access,municipal_revenue,urban_population,avg_revenue,total_revenue,household_metric,water_access_lag_1,urban_population_lag_1,total_revenue_lag_1,water_access_growth,urban_population_growth,total_revenue_growth,water_access_roll_3,urban_population_roll_3,infra_pressure,infrastructure_risk
IND,Andaman and Nicobar Islands,2002,0.982142857142857,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,2.88,97.8,2245353.3671399592,12633.865217391303,0.0030674846625766694,0.0,0.0,94.03418282098964,2245353.3671399592,0.04858062238459472,0.28630726708636156
IND,Andaman and Nicobar Islands,2008,0.982142857142857,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,2.88,98.1,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,98.0,2245353.3671399592,0.04858062238459472,0.28630726708636156
IND,Andaman and Nicobar Islands,2011,0.982142857142857,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,76.52,98.1,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,98.1,2245353.3671399592,0.04858062238459472,0.28630726708636156
IND,Andaman and Nicobar Islands,2012,0.8574824584697536,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,1.29,98.1,2245353.3671399592,12633.865217391303,-0.12097522888562129,0.0,0.0,94.14411001544018,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andaman and Nicobar Islands,2015,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.29,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,90.18822003088036,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andaman and Nicobar Islands,2016,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.29,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andaman and Nicobar Islands,2017,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.29,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andaman and Nicobar Islands,2018,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.29,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andaman and Nicobar Islands,2019,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.29,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andaman and Nicobar Islands,2020,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.29,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andaman and Nicobar Islands,2021,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.29,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andaman and Nicobar Islands,2022,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.29,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andhra Pradesh,2002,0.944327731092437,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,2.21,90.2,2245353.3671399592,12633.865217391303,0.047671840354767125,0.0,0.0,90.30084948765631,2245353.3671399592,0.050728687972715396,0.30207773718296577
IND,Andhra Pradesh,2008,0.944327731092437,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,2.21,94.5,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,93.06666666666666,2245353.3671399592,0.050728687972715396,0.30207773718296577
IND,Andhra Pradesh,2011,0.944327731092437,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,78.95,94.5,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,94.5,2245353.3671399592,0.050728687972715396,0.30207773718296577
IND,Andhra Pradesh,2012,0.8574824584697536,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,1.48,94.5,2245353.3671399592,12633.865217391303,-0.087488570938407,0.0,0.0,91.74411001544019,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andhra Pradesh,2015,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.48,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,88.98822003088037,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andhra Pradesh,2016,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.48,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andhra Pradesh,2017,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.48,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andhra Pradesh,2018,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.48,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andhra Pradesh,2019,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.48,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andhra Pradesh,2020,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.48,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andhra Pradesh,2021,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.48,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Andhra Pradesh,2022,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,1.48,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Arunachal Pradesh,2002,0.9107142857142856,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,4.59,90.7,2245353.3671399592,12633.865217391303,0.006615214994487362,0.0,0.0,89.40084948765632,2245353.3671399592,0.05277874984614994,0.31613813389625667
IND,Arunachal Pradesh,2008,0.9107142857142856,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,4.59,91.3,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,91.10000000000001,2245353.3671399592,0.05277874984614994,0.31613813389625667
IND,Arunachal Pradesh,2011,0.9107142857142856,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,58.52,91.3,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,91.3,2245353.3671399592,0.05277874984614994,0.31613813389625667
IND,Arunachal Pradesh,2012,0.8574824584697536,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,2.8,91.3,2245353.3671399592,12633.865217391303,-0.05550569500196556,0.0,0.0,89.61077668210685,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Arunachal Pradesh,2015,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,2.8,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,87.9215533642137,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Arunachal Pradesh,2016,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,2.8,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Arunachal Pradesh,2017,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,2.8,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Arunachal Pradesh,2018,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,2.8,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Arunachal Pradesh,2019,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,2.8,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Arunachal Pradesh,2020,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,2.8,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Arunachal Pradesh,2021,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,2.8,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Arunachal Pradesh,2022,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,2.8,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Assam,2002,0.7731092436974789,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,6.53,70.4,2245353.3671399592,12633.865217391303,0.11079545454545459,0.0,0.0,78.26751615432299,2245353.3671399592,0.06289842277370787,0.37421605258124674
IND,Assam,2008,0.7731092436974789,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,6.53,78.2,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,75.60000000000001,2245353.3671399592,0.06289842277370787,0.37421605258124674
IND,Assam,2011,0.7731092436974789,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,58.92,78.2,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,78.2,2245353.3671399592,0.06289842277370787,0.37421605258124674
IND,Assam,2012,0.8574824584697536,56.963944562899776,0.497395896959287,587.0241050119332,0.11803258923958013,5.66,78.2,2245353.3671399592,12633.865217391303,0.10271521798363858,0.0,0.0,80.87744334877353,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Assam,2015,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,5.66,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,83.55488669754703,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Assam,2016,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,5.66,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Assam,2017,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,5.66,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
IND,Assam,2018,0.8574824584697536,56.963944562899776,0.497395896959287,0.0,0.11803258923958013,5.66,86.23233004632054,2245353.3671399592,12633.865217391303,0.0,0.0,0.0,86.23233004632054,2245353.3671399592,0.05633302635792181,0.33849714774760103
