State,District,predicted_risk
Jharkhand,Giridih,0.06908769
Jharkhand,Gumla,0.075288795
Jharkhand,Hazaribagh,0.073210314
Jharkhand,Koderma,0.079973824
Jharkhand,Pakur,0.086018294
Jharkhand,Palamu,0.070752025
Jharkhand,Ranchi,0.08707321
Jharkhand,Sahebganj,0.098611005
Jharkhand,West Singhbhum,0.06917901
Karnataka,Bagalkote,0.051402505
Karnataka,Ballari,0.04509479
Karnataka,Belagavi,0.04726321
Karnataka,Bengaluru Rural,0.06236496
Karnataka,Bengaluru Urban,0.060090788
Karnataka,Bidar,0.06348763
Karnataka,Chamarajanagara,0.12176637
Karnataka,Chikkamagaluru,0.059781417
Karnataka,Chitradurga,0.051758345
Karnataka,Dakshina Kannada,0.060132567
Karnataka,Davangere,0.04809805
Karnataka,Dharwad,0.056813963
Karnataka,Gadag,0.052042335
Karnataka,Hassan,0.063542016
Karnataka,Haveri,0.048012838
Karnataka,Kalaburagi,0.049987227
Karnataka,Kodagu,0.05393843
Karnataka,Kolar,0.054573055
Karnataka,Koppal,0.04543489
Karnataka,Mandya,0.05946204
Karnataka,Mysuru,0.058556605
Karnataka,Raichur,0.04866397
Karnataka,Shivamogga,0.06355229
Karnataka,Tumakuru,0.05625678
Karnataka,Udupi,0.06286082
Karnataka,Uttara Kannada,0.0613735
Kerala,Alappuzha,0.059359424
Kerala,Ernakulam,0.10962925
Kerala,Idukki,0.059079863
Kerala,Kannur,0.044904437
Kerala,Kasaragod,0.04531703
Kerala,Kollam,0.048699625
Kerala,Kottayam,0.05524965
Kerala,Kozhikode,0.1288278
Kerala,Malappuram,0.16529894
Kerala,Palakkad,0.21826711
Kerala,Pathanamthitta,0.056428123
Kerala,Thiruvananthapuram,0.04903765
Kerala,Thrissur,0.18766929
Kerala,Wayanad,0.10462433
Madhya Pradesh,Balaghat,0.10031485
Madhya Pradesh,Barwani,0.0491551
Madhya Pradesh,Betul,0.059951585
Madhya Pradesh,Bhind,0.094118476
Madhya Pradesh,Bhopal,0.056857467
Madhya Pradesh,Chhatarpur,0.056882072
Madhya Pradesh,Chhindwara,0.070988074
Madhya Pradesh,Damoh,0.060618423
Madhya Pradesh,Datia,0.09602839
Madhya Pradesh,Dewas,0.05637012
Madhya Pradesh,Dhar,0.06710317
Madhya Pradesh,Dindori,0.069359794
Madhya Pradesh,Guna,0.05857208
Madhya Pradesh,Gwalior,0.08643705
Madhya Pradesh,Harda,0.05788346
Madhya Pradesh,Indore,0.050419208
Madhya Pradesh,Jabalpur,0.06678969
Madhya Pradesh,Jhabua,0.07630712
Madhya Pradesh,Katni,0.059732303
Madhya Pradesh,Khargone (West Nimar),0.052675877
Madhya Pradesh,Mandla,0.06641657
Madhya Pradesh,Mandsaur,0.06511064
Madhya Pradesh,Morena,0.09181951
Madhya Pradesh,Narmadapuram,0.06145882
Madhya Pradesh,Narsimhapur,0.0701326
Madhya Pradesh,Neemuch,0.05433461
Madhya Pradesh,Panna,0.05599397
Madhya Pradesh,Raisen,0.060084056
Madhya Pradesh,Rajgarh,0.055408694
Madhya Pradesh,Ratlam,0.06399988
Madhya Pradesh,Rewa,0.050667103
Madhya Pradesh,Sagar,0.060636576
Madhya Pradesh,Satna,0.055693537
Madhya Pradesh,Sehore,0.055900626
Madhya Pradesh,Seoni,0.087299794
Madhya Pradesh,Shahdol,0.07016529
Madhya Pradesh,Shajapur,0.05535495
Madhya Pradesh,Sheopur,0.055054072
Madhya Pradesh,Shivpuri,0.052336026
Madhya Pradesh,Sidhi,0.06442318
Madhya Pradesh,Tikamgarh,0.05625112
Madhya Pradesh,Ujjain,0.054932807
Madhya Pradesh,Umaria,0.06822405
Madhya Pradesh,Vidisha,0.057081908
Maharashtra,Ahmednagar,0.06662652
Maharashtra,Akola,0.066029064
Maharashtra,Amravati,0.06984646
Maharashtra,Beed,0.10389343
Maharashtra,Bhandara,0.07490563
Maharashtra,Buldhana,0.078512646
Maharashtra,Chandrapur,0.065879285
Maharashtra,Chhatrapati Sambhajinagar,0.07913193
Maharashtra,Dharashiv,0.08332108
Maharashtra,Dhule,0.043511957
Maharashtra,Gadchiroli,0.07357087
Maharashtra,Gondia,0.09437572
Maharashtra,Jalgaon,0.07236947
Maharashtra,Jalna,0.09808587
Maharashtra,Kolhapur,0.04479832
Maharashtra,Latur,0.120458394
Maharashtra,Mumbai,0.04850267
Maharashtra,Nagpur,0.066446885
Maharashtra,Nanded,0.112362444
Maharashtra,Nandurbar,0.042404264
Maharashtra,Nashik,0.047089417
Maharashtra,Parbhani,0.10898686
Maharashtra,Pune,0.07148346
Maharashtra,Raigad,0.047576882
Maharashtra,Ratnagiri,0.051490463
Maharashtra,Sangli,0.04477447
Maharashtra,Satara,0.044284366
Maharashtra,Sindhudurg,0.04964183
Maharashtra,Solapur,0.05762685
Maharashtra,Thane,0.04347356
Maharashtra,Wardha,0.07287349
Maharashtra,Washim,0.071074516
Maharashtra,Yavatmal,0.06553278
Meghalaya,East Garo Hills,0.051619355
Meghalaya,West Jaintia Hills,0.06575832
Odisha,Anugul,0.06571191
Odisha,Balangir,0.080011986
Odisha,Baleshwar,0.053529654
Odisha,Bargarh,0.07928618
Odisha,Bhadrak,0.058563285
Odisha,Boudh,0.059101384
Odisha,Cuttack,0.08879037
Odisha,Deogarh,0.073910125
Odisha,Dhenkanal,0.07184229
Odisha,Gajapati,0.056646496
Odisha,Ganjam,0.06357071
Odisha,Jagatsinghapur,0.23860137
Odisha,Jajapur,0.070545256
Odisha,Jharsuguda,0.064496025
Odisha,Kalahandi,0.05069218
Odisha,Kendujhar,0.057471022
Odisha,Khordha,0.09765162
Odisha,Koraput,0.0649553
Odisha,Malkangiri,0.22410439
Odisha,Mayurbhanj,0.053678315
Odisha,Nayagarh,0.076136686
Odisha,Nuapada,0.06750176
Odisha,Puri,0.2441119
Odisha,Rayagada,0.04647003
Odisha,Sambalpur,0.06343193
Odisha,Sonepur,0.07243926
Odisha,Sundargarh,0.061752852
Puducherry,Pondicherry,0.07435144
Punjab,Amritsar,0.03831149
Punjab,Bathinda,0.04213905
Punjab,Faridkot,0.038398895
Punjab,Fatehgarh Sahib,0.058940116
Punjab,Ferozepur,0.038462877
Punjab,Gurdaspur,0.03737369
Punjab,Hoshiarpur,0.039736345
Punjab,Jalandhar,0.038055457
Punjab,Kapurthala,0.03816116
Punjab,Ludhiana,0.03955018
Punjab,Moga,0.03834017
Punjab,Patiala,0.058794525
Punjab,Rupnagar,0.04166377
Punjab,Sangrur,0.056433853
Punjab,Shahid Bhagat Singh Nagar,0.039629508
Punjab,Sri Muktsar Sahib,0.038351357
Rajasthan,Ajmer,0.058547407
Rajasthan,Alwar,0.07026678
Rajasthan,Banswara,0.07521685
Rajasthan,Baran,0.06092746
Rajasthan,Barmer,0.05344647
Rajasthan,Bharatpur,0.074226804
Rajasthan,Bhilwara,0.054871384
Rajasthan,Bikaner,0.063161604
Rajasthan,Bundi,0.050182704
Rajasthan,Chittorgarh,0.054058455
Rajasthan,Churu,0.06757196
Rajasthan,Dausa,0.056516793
Rajasthan,Dholpur,0.12042016
Rajasthan,Dungarpur,0.05111584
Rajasthan,Ganganagar,0.059128966
Rajasthan,Hanumangarh,0.066348396
Rajasthan,Jaipur,0.06200073
Rajasthan,Jaisalmer,0.04329007
Rajasthan,Jalore,0.050748743
Rajasthan,Jhalawar,0.05068335
Rajasthan,Jhunjhunu,0.06915148
Rajasthan,Jodhpur,0.04749599
Rajasthan,Karauli,0.058272835
Rajasthan,Kota,0.05009784
Rajasthan,Nagaur,0.05439695
Rajasthan,Pali,0.048021108
