State,District,Year,Month,predicted_risk
Andhra Pradesh,Chittoor,2020,6,0.06039078
Andhra Pradesh,Chittoor,2020,6,0.03141662
Andhra Pradesh,Chittoor,2020,6,0.030824997
Andhra Pradesh,Chittoor,2020,6,0.030843802
Andhra Pradesh,Chittoor,2020,7,0.037419986
Andhra Pradesh,Chittoor,2020,7,0.039812617
Andhra Pradesh,Chittoor,2020,7,0.036404073
Andhra Pradesh,Chittoor,2020,7,0.038695104
Andhra Pradesh,Chittoor,2020,7,0.040344913
Andhra Pradesh,Chittoor,2020,7,0.040083926
Andhra Pradesh,Chittoor,2020,7,0.034917627
Andhra Pradesh,Chittoor,2020,7,0.033630077
Andhra Pradesh,Chittoor,2020,7,0.033630077
Andhra Pradesh,Chittoor,2020,8,0.03722876
Andhra Pradesh,Chittoor,2020,8,0.039821707
Andhra Pradesh,Chittoor,2020,8,0.041394938
Andhra Pradesh,Chittoor,2020,8,0.03553366
Andhra Pradesh,Chittoor,2020,8,0.03300248
Andhra Pradesh,Chittoor,2020,8,0.031113552
Andhra Pradesh,Chittoor,2020,8,0.031426232
Andhra Pradesh,Chittoor,2020,8,0.03146649
Andhra Pradesh,Chittoor,2020,8,0.031329826
Andhra Pradesh,Chittoor,2020,9,0.032039914
Andhra Pradesh,Chittoor,2020,9,0.030985832
Andhra Pradesh,Chittoor,2020,9,0.031665586
Andhra Pradesh,Chittoor,2020,9,0.031479333
Andhra Pradesh,Chittoor,2020,9,0.033161197
Andhra Pradesh,Chittoor,2020,9,0.033161197
Andhra Pradesh,Chittoor,2020,9,0.033161197
Andhra Pradesh,Chittoor,2020,9,0.033161197
Andhra Pradesh,Chittoor,2020,9,0.033183496
Andhra Pradesh,Chittoor,2020,10,0.03175717
Andhra Pradesh,Chittoor,2020,10,0.02959745
Andhra Pradesh,Chittoor,2020,10,0.030762706
Andhra Pradesh,Chittoor,2020,10,0.03043329
Andhra Pradesh,Chittoor,2020,10,0.030364173
Andhra Pradesh,Chittoor,2020,10,0.030251335
Andhra Pradesh,Chittoor,2020,10,0.031111019
Andhra Pradesh,Chittoor,2020,10,0.031111019
Andhra Pradesh,Chittoor,2020,10,0.031111019
Andhra Pradesh,Chittoor,2020,11,0.043508448
Andhra Pradesh,Chittoor,2020,11,0.044566795
Andhra Pradesh,Chittoor,2020,11,0.047810223
Andhra Pradesh,Chittoor,2020,11,0.047421996
Andhra Pradesh,Chittoor,2020,11,0.047421996
Andhra Pradesh,Chittoor,2020,11,0.049103875
Andhra Pradesh,Chittoor,2020,11,0.048952613
Andhra Pradesh,Chittoor,2020,11,0.048967823
Andhra Pradesh,Chittoor,2020,11,0.048967823
Andhra Pradesh,Chittoor,2020,12,0.07888898
Andhra Pradesh,Chittoor,2020,12,0.059222165
Andhra Pradesh,Chittoor,2020,12,0.065661944
Andhra Pradesh,Chittoor,2020,12,0.06571426
Andhra Pradesh,Chittoor,2020,12,0.06497897
Andhra Pradesh,Chittoor,2020,12,0.064963765
Andhra Pradesh,Chittoor,2020,12,0.06590353
Andhra Pradesh,Chittoor,2020,12,0.06590353
Andhra Pradesh,Chittoor,2020,12,0.06590353
Andhra Pradesh,Chittoor,2021,1,0.059732407
Andhra Pradesh,Chittoor,2021,1,0.04952448
Andhra Pradesh,Chittoor,2021,1,0.0559146
Andhra Pradesh,Chittoor,2021,1,0.056022644
Andhra Pradesh,Chittoor,2021,1,0.05558597
Andhra Pradesh,Chittoor,2021,1,0.055637453
Andhra Pradesh,Chittoor,2021,1,0.05765698
Andhra Pradesh,Chittoor,2021,1,0.057651363
Andhra Pradesh,Chittoor,2021,1,0.057651363
Andhra Pradesh,Chittoor,2021,2,0.059244208
Andhra Pradesh,Chittoor,2021,2,0.05783234
Andhra Pradesh,Chittoor,2021,2,0.075750075
Andhra Pradesh,Chittoor,2021,2,0.07315381
Andhra Pradesh,Chittoor,2021,2,0.075044625
Andhra Pradesh,Chittoor,2021,2,0.07489188
Andhra Pradesh,Chittoor,2021,2,0.075487435
Andhra Pradesh,Chittoor,2021,2,0.0757318
Andhra Pradesh,Chittoor,2021,2,0.07605381
Andhra Pradesh,Chittoor,2021,3,0.03449534
Andhra Pradesh,Chittoor,2021,3,0.034508266
Andhra Pradesh,Chittoor,2021,3,0.030513663
Andhra Pradesh,Chittoor,2021,3,0.02409813
Andhra Pradesh,Chittoor,2021,3,0.025051987
Andhra Pradesh,Chittoor,2021,3,0.023274222
Andhra Pradesh,Chittoor,2021,3,0.021336226
Andhra Pradesh,Chittoor,2021,3,0.020414636
Andhra Pradesh,Chittoor,2021,3,0.020037146
Andhra Pradesh,Chittoor,2021,4,0.030716557
Andhra Pradesh,Chittoor,2021,4,0.028833173
