Country,Year,Month,Inflation,InterestRate,ExchangeRate,NIFTY50,VIX
IND,2010,1,8.866149028190728,8.56,45.72666666666667,5156.223684210527,19.520999999999997
IND,2010,2,8.866149028190728,8.56,45.79222222222222,4839.5725,19.520999999999997
IND,2010,3,8.866149028190728,8.56,45.5625,5178.14761904762,19.520999999999997
IND,2010,4,8.866149028190728,8.56,45.5525,5294.755,19.520999999999997
IND,2010,5,8.866149028190728,8.56,45.24625,5052.971428571428,19.520999999999997
IND,2010,6,8.866149028190728,8.56,45.32285714285714,5187.775000000001,19.520999999999997
IND,2010,7,8.866149028190728,8.56,45.66,5359.745454545454,19.520999999999997
IND,2010,8,8.866149028190728,8.56,45.6065,5457.238636363636,17.582272727272727
IND,2010,9,8.866149028190728,8.56,45.72777777777778,5811.483333333333,19.45809523809524
IND,2010,10,8.866149028190728,8.56,45.675,6096.107142857143,21.635714285714286
IND,2010,11,8.866149028190728,8.56,45.958333333333336,6055.330952380952,20.876666666666665
IND,2010,12,8.866149028190728,8.56,45.52222222222222,5971.320454545454,19.529090909090908
IND,2011,1,8.866149028190728,8.56,46.07888888888888,5782.71,21.0985
IND,2011,2,8.902066376505488,8.535,46.136250000000004,5400.9175000000005,24.536
IND,2011,3,8.937983724820247,8.51,45.8775,5538.418181818181,23.14090909090909
IND,2011,4,8.973901073135007,8.485,45.86125,5839.094444444444,20.834444444444443
IND,2011,5,9.009818421449767,8.46,46.291428571428575,5492.197727272727,20.38
IND,2011,6,9.045735769764526,8.435,46.2,5472.636363636364,19.150000000000002
IND,2011,7,9.081653118079286,8.41,46.434000000000005,5596.588095238096,19.07
IND,2011,8,9.117570466394046,8.385,46.18333333333333,5076.742857142857,26.360952380952384
IND,2011,9,9.153487814708805,8.36,46.665,5015.578571428571,30.450000000000003
IND,2011,10,9.189405163023565,8.335,45.83857142857143,5060.015789473684,27.613684210526316
IND,2011,11,9.225322511338325,8.31,45.48125,5004.2775,26.166000000000004
IND,2011,12,9.261239859653084,8.285,46.61625,4782.364285714286,27.595238095238095
IND,2012,1,9.297157207967844,8.26,52.577685714285714,4920.015909090909,23.829545454545453
IND,2012,2,9.432498748473636,8.247430555555555,52.475,5409.09,24.4995
IND,2012,3,9.567840288979427,8.234861111111112,52.8375,5298.484090909091,25.156818181818185
IND,2012,4,9.70318182948522,8.222291666666667,53.59571428571429,5254.4800000000005,20.321
IND,2012,5,9.838523369991012,8.209722222222222,53.446666666666665,4966.506818181818,23.193181818181817
IND,2012,6,9.973864910496804,8.197152777777777,53.385630000000006,5074.214285714285,22.996190476190478
IND,2012,7,10.109206451002596,8.184583333333332,53.292500000000004,5222.011363636364,17.69090909090909
IND,2012,8,10.244547991508387,8.17201388888889,52.916666666666664,5329.721428571428,16.272380952380953
IND,2012,9,10.379889532014179,8.159444444444444,52.74666666666667,5485.265,16.688
IND,2012,10,10.51523107251997,8.146875,53.25222222222222,5688.630952380952,15.473809523809523
IND,2012,11,10.650572613025764,8.134305555555557,53.792500000000004,5679.6224999999995,14.9445
IND,2012,12,10.785914153531555,8.121736111111112,53.29875,5890.955,14.733500000000001
IND,2013,1,10.921255694037347,8.109166666666667,57.515,5916.509464882943,13.870434782608696
IND,2013,2,10.542353939887585,8.148958333333333,58.23285714285714,5942.063929765886,15.503
IND,2013,3,10.163452185737823,8.18875,58.95625,5967.618394648829,14.998947368421053
IND,2013,4,9.784550431588059,8.228541666666667,58.50777777777777,5993.172859531773,15.635499999999999
IND,2013,5,9.405648677438297,8.268333333333334,58.88111111111112,6018.727324414715,17.13608695652174
IND,2013,6,9.026746923288535,8.308125,58.60875,6044.281789297659,18.672
IND,2013,7,8.647845169138773,8.347916666666666,57.3625,6069.836254180602,18.35304347826087
IND,2013,8,8.26894341498901,8.387708333333334,57.47999999999999,6095.3907190635455,24.503999999999998
IND,2013,9,7.8900416608392465,8.4275,59.0075,6120.945183946488,27.666000000000004
IND,2013,10,7.511139906689484,8.467291666666668,58.5025,6146.499648829432,22.55142857142857
IND,2013,11,7.132238152539722,8.507083333333334,57.93,6172.054113712375,20.219
IND,2013,12,6.753336398389959,8.546875000000002,58.93444444444444,6197.608578595318,18.302380952380954
IND,2014,1,6.374434644240197,8.586666666666668,60.81166666666667,6223.163043478261,16.24434782608696
IND,2014,2,6.333447292078749,8.519166666666667,60.64625,6098.744736842105,16.573684210526313
IND,2014,3,6.292459939917302,8.451666666666668,61.18300000000001,6507.980952380953,16.807142857142857
IND,2014,4,6.251472587755854,8.384166666666667,61.01,6754.736111111111,28.49597222222222
IND,2014,5,6.2104852355944065,8.316666666666666,61.05875,7083.157142857142,26.26630952380952
IND,2014,6,6.1694978834329595,8.249166666666667,61.1075,7542.842857142858,17.442023809523807
IND,2014,7,6.128510531271512,8.181666666666667,61.08255555555556,7676.761363636364,15.907954545454546
IND,2014,8,6.087523179110064,8.114166666666668,60.8325,7787.352631578948,13.880131578947367
IND,2014,9,6.046535826948617,8.046666666666667,60.56,8053.525,12.850340909090908
IND,2014,10,6.005548474787169,7.979166666666667,61.001,7953.113888888888,13.933333333333334
IND,2014,11,5.964561122625721,7.911666666666667,60.9125,8417.058333333332,13.808055555555557
IND,2014,12,5.923573770464274,7.844166666666666,60.935,8309.868181818181,13.908068181818182
IND,2015,1,5.882586418302826,7.776666666666666,64.46857142857142,8517.769047619047,17.18
IND,2015,2,5.806262481745167,7.729027777777778,63.964999999999996,8750.435000000001,20.500625
IND,2015,3,5.729938545187508,7.681388888888889,63.9825,8664.061904761904,14.854404761904762
IND,2015,4,5.65361460862985,7.63375,64.26875,8524.007894736842,15.96592105263158
IND,2015,5,5.57729067207219,7.586111111111111,63.6375,8300.805,18.339750000000002
IND,2015,6,5.500966735514531,7.5384722222222225,63.518888888888895,8195.60681818182,16.890113636363637
IND,2015,7,5.424642798956873,7.490833333333334,64.06142857142858,8479.515217391305,15.82554347826087
IND,2015,8,5.348318862399214,7.443194444444445,64.2775,8309.923809523809,18.591309523809525
IND,2015,9,5.271994925841555,7.395555555555556,64.1,7814.889999999999,23.107499999999998
IND,2015,10,5.1956709892838955,7.347916666666667,64.16777777777777,8172.3225,17.8375
