Country,Year,Inflation,InterestRate,ExchangeRate,NIFTY50,VIX
IND,2010,8.85836196068741,8.56,45.65074297188755,5461.124603174603,19.76957264957265
IND,2011,8.85836196068741,8.56,46.578167330677296,5335.912550607287,23.835829959514168
IND,2012,9.312447666186795,8.26,53.37434302788845,5343.771115537848,19.722988047808766
IND,2013,10.907643429757453,8.109166666666667,58.51486055776892,5343.771115537848,18.88868
IND,2014,6.353192373141736,8.586666666666668,60.995252,7360.303073770491,17.10655737704918
IND,2015,5.8724390783593705,7.776666666666666,64.10725099601594,8285.91693548387,17.61835685483871
IND,2016,4.940995215708921,7.205000000000001,67.15717131474103,8092.193927125506,16.60066801619433
IND,2017,2.4909073915416524,6.922499999999999,65.06594377510041,9590.717943548387,12.621078629032258
IND,2018,4.860715049719899,7.704166666666667,68.37343775100402,10749.392276422765,15.07385162601626
IND,2019,7.659669548111303,6.996666666666666,70.37771084337349,11432.632244897959,16.53323469387755
IND,2020,5.561353376605838,6.191666666666666,74.14292,11161.474801587301,26.746021825396827
IND,2021,4.8900811010724965,6.2575,73.93510040160642,16026.76068548387,26.746021825396827
IND,2022,5.900432719846083,7.191666666666666,78.57916,17245.430443548386,19.323235887096775
IND,2023,5.552340908324682,7.218333333333334,82.57084337349397,18903.131707317076,12.44415650406504
IND,2024,3.8000934810109355,6.976666666666667,83.65657370517928,23477.62871485944,14.667247983870968
IND,2025,1.0005767966210222,6.526666666666666,87.14676,24575.608032128515,13.378052208835342
IND,2026,1.0005767966210222,6.73,90.81666666666666,25643.617567567566,12.30135135135135
