Country,State,Year,Condition Of House,"Percentage Of Households (UOM:%(Percentage)), Scaling Factor:1"
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",Liveable,29.29
India,Rajasthan,"Calendar Year (Jan - Dec), 2011",Dilapidated,1.81
India,Sikkim,"Calendar Year (Jan - Dec), 2011",Good,80.29
India,Sikkim,"Calendar Year (Jan - Dec), 2011",Liveable,17.95
India,Sikkim,"Calendar Year (Jan - Dec), 2011",Dilapidated,1.76
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",Good,76.40
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",Liveable,22.42
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2011",Dilapidated,1.18
India,Telangana,"Calendar Year (Jan - Dec), 2011",Good,78.95
India,Telangana,"Calendar Year (Jan - Dec), 2011",Liveable,19.57
India,Telangana,"Calendar Year (Jan - Dec), 2011",Dilapidated,1.48
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2011",Good,70.1897958592055060970855
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2011",Liveable,29.3838774594149771826328
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2011",Dilapidated,0.4327517393581207451190
India,Tripura,"Calendar Year (Jan - Dec), 2011",Good,63.63
India,Tripura,"Calendar Year (Jan - Dec), 2011",Liveable,32.14
India,Tripura,"Calendar Year (Jan - Dec), 2011",Dilapidated,4.23
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2011",Good,56.98
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2011",Liveable,39.15
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2011",Dilapidated,3.88
India,Uttarakhand,"Calendar Year (Jan - Dec), 2011",Good,74.41
India,Uttarakhand,"Calendar Year (Jan - Dec), 2011",Liveable,23.06
India,Uttarakhand,"Calendar Year (Jan - Dec), 2011",Dilapidated,2.53
India,West Bengal,"Calendar Year (Jan - Dec), 2011",Good,57.52
India,West Bengal,"Calendar Year (Jan - Dec), 2011",Liveable,35.87
India,West Bengal,"Calendar Year (Jan - Dec), 2011",Dilapidated,6.60
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2001",Good,62.08
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2001",Liveable,35.04
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2001",Dilapidated,2.88
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2001",Good,71.92
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2001",Liveable,25.87
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2001",Dilapidated,2.21
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2001",Good,56.31
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2001",Liveable,39.1
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2001",Dilapidated,4.59
India,Assam,"Calendar Year (Jan - Dec), 2001",Good,51.98
India,Assam,"Calendar Year (Jan - Dec), 2001",Liveable,41.49
India,Assam,"Calendar Year (Jan - Dec), 2001",Dilapidated,6.53
India,Bihar,"Calendar Year (Jan - Dec), 2001",Good,54.22
India,Bihar,"Calendar Year (Jan - Dec), 2001",Liveable,37.75
India,Bihar,"Calendar Year (Jan - Dec), 2001",Dilapidated,8.03
India,Chandigarh,"Calendar Year (Jan - Dec), 2001",Good,69.72
India,Chandigarh,"Calendar Year (Jan - Dec), 2001",Liveable,27.48
India,Chandigarh,"Calendar Year (Jan - Dec), 2001",Dilapidated,2.8
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2001",Good,60.16
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2001",Liveable,37.01
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2001",Dilapidated,2.82
India,Delhi,"Calendar Year (Jan - Dec), 2001",Good,58.94
India,Delhi,"Calendar Year (Jan - Dec), 2001",Liveable,35.64
India,Delhi,"Calendar Year (Jan - Dec), 2001",Dilapidated,5.41
India,Goa,"Calendar Year (Jan - Dec), 2001",Good,68.53
India,Goa,"Calendar Year (Jan - Dec), 2001",Liveable,27.49
India,Goa,"Calendar Year (Jan - Dec), 2001",Dilapidated,3.98
India,Gujarat,"Calendar Year (Jan - Dec), 2001",Good,67.25
India,Gujarat,"Calendar Year (Jan - Dec), 2001",Liveable,30.8
India,Gujarat,"Calendar Year (Jan - Dec), 2001",Dilapidated,1.94
India,Haryana,"Calendar Year (Jan - Dec), 2001",Good,58.64
India,Haryana,"Calendar Year (Jan - Dec), 2001",Liveable,37.49
India,Haryana,"Calendar Year (Jan - Dec), 2001",Dilapidated,3.87
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2001",Good,73.28
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2001",Liveable,23.93
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2001",Dilapidated,2.78
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2001",Good,57.16
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2001",Liveable,40.15
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2001",Dilapidated,2.69
India,Jharkhand,"Calendar Year (Jan - Dec), 2001",Good,59.58
India,Jharkhand,"Calendar Year (Jan - Dec), 2001",Liveable,36.03
India,Jharkhand,"Calendar Year (Jan - Dec), 2001",Dilapidated,4.39
India,Karnataka,"Calendar Year (Jan - Dec), 2001",Good,58.41
India,Karnataka,"Calendar Year (Jan - Dec), 2001",Liveable,38.25
India,Karnataka,"Calendar Year (Jan - Dec), 2001",Dilapidated,3.34
India,Kerala,"Calendar Year (Jan - Dec), 2001",Good,64.85
India,Kerala,"Calendar Year (Jan - Dec), 2001",Liveable,29.45
India,Kerala,"Calendar Year (Jan - Dec), 2001",Dilapidated,5.7
India,Ladakh,"Calendar Year (Jan - Dec), 2001",Good,57.16
India,Ladakh,"Calendar Year (Jan - Dec), 2001",Liveable,40.15
India,Ladakh,"Calendar Year (Jan - Dec), 2001",Dilapidated,2.69
India,Lakshadweep,"Calendar Year (Jan - Dec), 2001",Good,80.23
India,Lakshadweep,"Calendar Year (Jan - Dec), 2001",Liveable,18.59
India,Lakshadweep,"Calendar Year (Jan - Dec), 2001",Dilapidated,1.18
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2001",Good,63.49
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2001",Liveable,33.37
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2001",Dilapidated,3.14
India,Maharashtra,"Calendar Year (Jan - Dec), 2001",Good,62.61
India,Maharashtra,"Calendar Year (Jan - Dec), 2001",Liveable,34.34
India,Maharashtra,"Calendar Year (Jan - Dec), 2001",Dilapidated,3.04
India,Manipur,"Calendar Year (Jan - Dec), 2001",Good,62.17
India,Manipur,"Calendar Year (Jan - Dec), 2001",Liveable,34.14
India,Manipur,"Calendar Year (Jan - Dec), 2001",Dilapidated,3.7
India,Meghalaya,"Calendar Year (Jan - Dec), 2001",Good,60.88
India,Meghalaya,"Calendar Year (Jan - Dec), 2001",Liveable,34.61
India,Meghalaya,"Calendar Year (Jan - Dec), 2001",Dilapidated,4.51
India,Mizoram,"Calendar Year (Jan - Dec), 2001",Good,59.62
India,Mizoram,"Calendar Year (Jan - Dec), 2001",Liveable,39.33
India,Mizoram,"Calendar Year (Jan - Dec), 2001",Dilapidated,1.05
India,Nagaland,"Calendar Year (Jan - Dec), 2001",Good,49.6
India,Nagaland,"Calendar Year (Jan - Dec), 2001",Liveable,45.97
India,Nagaland,"Calendar Year (Jan - Dec), 2001",Dilapidated,4.43
India,Odisha,"Calendar Year (Jan - Dec), 2001",Good,46.25
India,Odisha,"Calendar Year (Jan - Dec), 2001",Liveable,45.92
India,Odisha,"Calendar Year (Jan - Dec), 2001",Dilapidated,7.83
India,Puducherry,"Calendar Year (Jan - Dec), 2001",Good,91.34
India,Puducherry,"Calendar Year (Jan - Dec), 2001",Liveable,8.06
India,Puducherry,"Calendar Year (Jan - Dec), 2001",Dilapidated,0.61
India,Punjab,"Calendar Year (Jan - Dec), 2001",Good,63.94
India,Punjab,"Calendar Year (Jan - Dec), 2001",Liveable,32.24
