Country,State,Year,"Total Number Of Households (UOM:Number), Scaling Factor:1","Percentage Of Households Having No Exclusive Room (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having One Room (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Two Rooms (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Three Rooms (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Four Rooms (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Five Rooms (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Six Rooms And Above (UOM:%(Percentage)), Scaling Factor:1","Percentage Of Households Having Four Rooms And Above (UOM:%(Percentage)), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2001",10082,2.55,28.65,37.57,16.89,8.49,2.72,3.13,14.34
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2001",1414198.40221080297058748790,1.63,32.51,28.86,18.46,10.79,3.65,4.10,18.54
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2001",11994,0.98,20.14,36.18,23.85,10.02,4.09,4.74,18.86
India,Assam,"Calendar Year (Jan - Dec), 2001",396935,1.26,19.42,26.05,21.16,14.24,8.45,9.42,32.11
India,Bihar,"Calendar Year (Jan - Dec), 2001",1019701,0.87,27.81,27.50,17.76,12.01,5.31,8.75,26.06
India,Chandigarh,"Calendar Year (Jan - Dec), 2001",85251,1.10,35.19,22.95,18.11,11.92,4.68,6.04,22.64
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2001",506659,0.50,21.64,31.89,20.25,12.63,5.53,7.56,25.72
India,Delhi,"Calendar Year (Jan - Dec), 2001",1580853,0.71,26.76,28.77,22.33,11.81,3.96,5.67,21.44
India,Goa,"Calendar Year (Jan - Dec), 2001",93648,1.50,12.86,24.26,27.04,17.73,7.90,8.72,34.35
India,Gujarat,"Calendar Year (Jan - Dec), 2001",2749173,0.64,33.91,33.49,18.92,7.69,2.53,2.82,13.04
India,Haryana,"Calendar Year (Jan - Dec), 2001",844282,1.18,22.21,31.80,22.23,12.92,4.67,4.99,22.59
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2001",60485,1.39,15.76,25.28,20.61,17.86,7.99,11.12,36.97
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2001",317364.75519831200535324828,1.93,13.16,21.81,20.93,19.27,7.63,15.26,42.17
India,Jharkhand,"Calendar Year (Jan - Dec), 2001",542281,0.68,22.34,31.65,18.80,13.02,5.35,8.16,26.53
India,Karnataka,"Calendar Year (Jan - Dec), 2001",1942982,3.99,26.00,27.79,19.02,11.71,5.45,6.04,23.20
India,Kerala,"Calendar Year (Jan - Dec), 2001",1446667,1.06,7.67,22.33,28.20,20.97,10.19,9.58,40.74
India,Ladakh,"Calendar Year (Jan - Dec), 2001",6143.24480168799464675172,1.93,13.16,21.81,20.93,19.27,7.63,15.26,42.17
India,Lakshadweep,"Calendar Year (Jan - Dec), 2001",2912,1.37,4.22,13.32,24.04,27.54,15.45,14.05,57.04
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2001",1937989,0.99,22.48,29.36,19.62,13.10,5.57,8.89,27.55
India,Maharashtra,"Calendar Year (Jan - Dec), 2001",5419455,3.47,41.33,27.94,15.44,6.87,2.30,2.65,11.82
India,Manipur,"Calendar Year (Jan - Dec), 2001",91300,1.49,11.73,25.39,30.13,15.53,7.65,8.09,31.27
India,Meghalaya,"Calendar Year (Jan - Dec), 2001",36041,1.63,9.66,20.19,23.54,16.08,11.34,17.56,44.98
India,Mizoram,"Calendar Year (Jan - Dec), 2001",41038,0.77,13.56,36.53,28.07,12.21,4.92,3.95,21.07
India,Nagaland,"Calendar Year (Jan - Dec), 2001",23098,1.19,13.65,22.85,26.50,18.31,8.58,8.90,35.79
India,Odisha,"Calendar Year (Jan - Dec), 2001",581156,1.22,26.45,30.23,18.74,11.42,5.05,6.88,23.35
India,Puducherry,"Calendar Year (Jan - Dec), 2001",81974,1.38,46.16,29.10,12.70,5.64,1.89,3.14,10.66
India,Punjab,"Calendar Year (Jan - Dec), 2001",1149543,0.56,18.45,30.03,23.59,15.45,6.20,5.71,27.37
India,Rajasthan,"Calendar Year (Jan - Dec), 2001",1715726,0.94,21.87,28.78,20.24,14.08,6.20,7.90,28.17
India,Sikkim,"Calendar Year (Jan - Dec), 2001",2986,0.87,13.26,19.26,20.03,17.62,10.11,18.85,46.58
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2001",3452816,5.99,33.37,28.45,17.39,8.37,3.21,3.22,14.80
India,Telangana,"Calendar Year (Jan - Dec), 2001",923262.59778919702941251210,1.63,32.51,28.86,18.46,10.79,3.65,4.10,18.54
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2001",12413.00000000000000000000,1.0315972170270068078096,23.5215276427021770030496,32.7187889017730231166095,19.2506988292062542081303,11.6529326887110047131135,4.5969763222862272761342,7.2374783982943068751533,23.4809623513129348395637
India,Tripura,"Calendar Year (Jan - Dec), 2001",86716,0.76,55.08,26.81,11.08,3.99,1.28,1.01,6.27
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2001",4140288,1.57,26.88,30.80,18.37,11.27,4.63,6.48,22.38
India,Uttarakhand,"Calendar Year (Jan - Dec), 2001",229421,0.59,23.70,28.89,21.61,14.37,5.30,5.55,25.22
India,West Bengal,"Calendar Year (Jan - Dec), 2001",2905310,0.64,35.48,32.22,16.35,8.51,2.74,4.07,15.31
