State,Year,Month,protest_count,violence_count,conflict_events,fatalities,protest_count_log,protest_count_scaled,violence_count_log,violence_count_scaled,month_sin,month_cos,protest_lag_1,protest_lag_2,protest_lag_3,violence_lag_1,protest_roll_3,protest_roll_6,violence_roll_3,protest_std_3,violence_std_3,protest_change,violence_change,social_risk_t_plus_1
Andaman And Nicobar Islands,2011,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,,,,,0.0,0.0,0.0,,,,,0.05031345911672047
Andaman And Nicobar Islands,2012,1,22.2,0.0,0.0,0.0,3.1441522786722644,0.3354230607781365,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,,,0.0,0.16771153038906825,0.16771153038906825,0.0,0.23717992084256778,0.0,0.3354230607781365,0.0,0.06932487869454486
Andaman And Nicobar Islands,2013,1,5.6,0.0,0.0,0.0,1.8870696490323797,0.2013155284728316,0.0,0.0,0.49999999999999994,0.8660254037844387,0.3354230607781365,0.0,,0.0,0.17891286308365603,0.17891286308365603,0.0,0.16882999433704868,0.0,-0.1341075323053049,0.0,0.14108152316642444
Andaman And Nicobar Islands,2014,1,33.4,6.0,0.0,0.0,3.5380565643793527,0.37744538331694544,1.9459101490553132,0.24324854176542066,0.49999999999999994,0.8660254037844387,0.2013155284728316,0.3354230607781365,0.0,0.0,0.3047279908559712,0.22854599314197838,0.08108284725514021,0.09198952076186241,0.14043961106824954,0.17612985484411384,0.24324854176542066,0.18507335896778965
Andaman And Nicobar Islands,2015,1,16.7,3.0,0.0,0.0,2.8735646395797834,0.3065563501137735,1.3862943611198906,0.17329375766077748,0.49999999999999994,0.8660254037844387,0.37744538331694544,0.2013155284728316,0.3354230607781365,0.24324854176542066,0.29510575396785016,0.24414806453633742,0.13884743314206605,0.08862149037296162,0.12522929059284488,-0.07088903320317191,-0.06995478410464318,0.24937796485386357
Andaman And Nicobar Islands,2016,1,33.4,6.0,0.0,0.0,3.5380565643793527,0.37744538331694544,1.9459101490553132,0.24324854176542066,0.49999999999999994,0.8660254037844387,0.3065563501137735,0.37744538331694544,0.2013155284728316,0.17329375766077748,0.3538157055825548,0.2663642843331054,0.21993028039720627,0.04092780240244358,0.04038841343391792,0.07088903320317191,0.06995478410464318,0.2655700098495551
Andaman And Nicobar Islands,2017,1,11.1,2.0,0.0,0.0,2.4932054526026954,0.2659790397982521,1.0986122886681098,0.137332053750696,0.49999999999999994,0.8660254037844387,0.37744538331694544,0.3065563501137735,0.37744538331694544,0.24324854176542066,0.3166602577429904,0.3106941242994808,0.18462478439229804,0.05641589444821065,0.053859722738203504,-0.11146634351869333,-0.10591648801472467,0.2516964950379008
Andaman And Nicobar Islands,2018,1,0.0,1.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.08664687883038874,0.49999999999999994,0.8660254037844387,0.2659790397982521,0.37744538331694544,0.3065563501137735,0.137332053750696,0.21447480770506586,0.254790280836458,0.15574249144883512,0.19392206885615307,0.07990762398346066,-0.2659790397982521,-0.05068517492030725,0.20038645032379696
Andaman And Nicobar Islands,2019,1,5.57,3.0,0.0,0.0,1.8825138324965192,0.2008295068710257,1.3862943611198906,0.17329375766077748,0.49999999999999994,0.8660254037844387,0.0,0.2659790397982521,0.37744538331694544,0.08664687883038874,0.15560284888975925,0.254709277236157,0.13242423008062074,0.13863729782102613,0.04353143062942493,0.2008295068710257,0.08664687883038874,0.16123836695601856
Andaman And Nicobar Islands,2020,1,11.14,2.0,0.0,0.0,2.4965057856313524,0.26633112446462415,1.0986122886681098,0.137332053750696,0.49999999999999994,0.8660254037844387,0.2008295068710257,0.0,0.2659790397982521,0.17329375766077748,0.1557202104452166,0.23619023409410347,0.13242423008062074,0.13877753216090646,0.04353143062942493,0.06550161759359846,-0.035961703910081494,0.15022931838074852
Andaman And Nicobar Islands,2021,1,0.0,3.0,0.0,0.0,0.0,0.0,1.3862943611198906,0.17329375766077748,0.49999999999999994,0.8660254037844387,0.26633112446462415,0.2008295068710257,0.0,0.137332053750696,0.1557202104452166,0.18509750907514122,0.16130652302408366,0.13877753216090646,0.02076249943300322,-0.26633112446462415,0.035961703910081494,0.14071512929289998
Andhra Pradesh,2011,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,,,,,0.0,0.0,0.0,,,,,0.12583992841757716
Andhra Pradesh,2012,1,2600.64117185989,0.0,0.0,0.0,7.86389774482017,0.8389328561171812,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,,,0.0,0.4194664280585906,0.4194664280585906,0.0,0.593215111520657,0.0,0.8389328561171812,0.0,0.19611142291046
Andhra Pradesh,2013,1,2735.8835890251994,0.0,0.0,0.0,7.914575175810688,0.8443392033639471,0.0,0.0,0.49999999999999994,0.8660254037844387,0.8389328561171812,0.0,,0.0,0.5610906864937094,0.5610906864937094,0.0,0.4859263071702588,0.0,0.005406347246765919,0.0,0.39824683871609484
Andhra Pradesh,2014,1,2921.7000000000003,390.0,0.0,0.0,7.9802631255641385,0.8513468961248865,5.968707559985366,0.746118422217763,0.49999999999999994,0.8660254037844387,0.8443392033639471,0.8389328561171812,0.0,0.0,0.8448729852020049,0.6336547389015037,0.24870614073925434,0.006224209959201091,0.43077167191476434,0.007007692760939377,0.746118422217763,0.5503177081323617
Andhra Pradesh,2015,1,3027.6000000000004,362.0,0.0,0.0,8.015855745522556,0.855143972242525,5.8944028342648505,0.736829958314859,0.49999999999999994,0.8660254037844387,0.8513468961248865,0.8443392033639471,0.8389328561171812,0.746118422217763,0.8502766905771195,0.6779525855697079,0.49431612684420734,0.005481310296428808,0.4281155145916961,0.003797076117638576,-0.009288463902904054,0.7085210469580151
Andhra Pradesh,2016,1,3188.0,405.0,0.0,0.0,8.067462667010057,0.860649478982798,6.0063531596017325,0.7508243112409595,0.49999999999999994,0.8660254037844387,0.855143972242525,0.8513468961248865,0.8443392033639471,0.736829958314859,0.8557134491167364,0.7084020678052229,0.7445908972578605,0.004677364630834933,0.007121128971760937,0.005505506740272947,0.013994352926100517,0.7754686426429732
Andhra Pradesh,2017,1,2687.3,341.0,0.0,0.0,7.896664302558284,0.8424284435167594,5.834810737062605,0.7293806468694015,0.49999999999999994,0.8660254037844387,0.860649478982798,0.855143972242525,0.8513468961248865,0.7508243112409595,0.8527406315806942,0.8488068083913495,0.7390116388084067,0.009345243074221103,0.01088703277996334,-0.018221035466038593,-0.02144366437155798,0.7510651889182943
Andhra Pradesh,2018,1,0.0,330.0,0.0,0.0,0.0,0.0,5.802118375377063,0.7252939374646861,0.49999999999999994,0.8660254037844387,0.8424284435167594,0.860649478982798,0.855143972242525,0.7293806468694015,0.5676926408331858,0.7089846657051527,0.7351662985250157,0.49172065481885235,0.01371332636887149,-0.8424284435167594,-0.0040867094047154495,0.6894828501039122
Andhra Pradesh,2019,1,2550.25,330.0,0.0,0.0,7.844338714124055,0.8368462682675892,5.802118375377063,0.7252939374646861,0.49999999999999994,0.8660254037844387,0.0,0.8424284435167594,0.860649478982798,0.7252939374646861,0.5597582372614496,0.7077358431890931,0.7266561739329246,0.484772888378323,0.002359462774921853,0.8368462682675892,0.0,0.6280870401990114
Andhra Pradesh,2020,1,2401.34,320.0,0.0,0.0,7.784198541332264,0.8304304209912394,5.771441123130016,0.7214591268604621,0.49999999999999994,0.8660254037844387,0.8368462682675892,0.0,0.8424284435167594,0.7252939374646861,0.5557588964196095,0.7042497640001518,0.724015667263278,0.4813120131330871,0.002214028934650186,-0.0064158472763498064,-0.0038348106042239705,0.624710926223193
Andhra Pradesh,2021,1,0.0,361.0,0.0,0.0,0.0,0.0,5.8916442118257715,0.7364851166550768,0.49999999999999994,0.8660254037844387,0.8304304209912394,0.8368462682675892,0.0,0.7214591268604621,0.5557588964196095,0.5617257686263977,0.7277460603267416,0.4813120131330871,0.007807353727414529,-0.8304304209912394,0.01502598979461467,0.5692767650817385
Arunachal Pradesh,2012,1,21.1,0.0,0.0,0.0,3.095577608523707,0.330241039332153,0.0,0.0,0.49999999999999994,0.8660254037844387,,,,,0.330241039332153,0.330241039332153,0.0,,,,,0.166713428539698
Arunachal Pradesh,2013,1,2.1,0.0,0.0,0.0,1.1314021114911006,0.12069973893486123,0.0,0.0,0.49999999999999994,0.8660254037844387,0.330241039332153,,,0.0,0.22547038913350712,0.22547038913350712,0.0,0.1481680744495724,0.0,-0.20954130039729174,0.0,0.1412050042442663
Arunachal Pradesh,2014,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.12069973893486123,0.330241039332153,,0.0,0.1503135927556714,0.1503135927556714,0.0,0.16710033293918175,0.0,-0.12069973893486123,0.0,0.0951010672949456
Arunachal Pradesh,2015,1,2.1,1.0,0.0,0.0,1.1314021114911006,0.12069973893486123,0.6931471805599453,0.08664687883038874,0.49999999999999994,0.8660254037844387,0.0,0.12069973893486123,0.330241039332153,0.0,0.08046649262324082,0.14291012930046887,0.028882292943462912,0.06968602676515968,0.050025598817165826,0.12069973893486123,0.08664687883038874,0.0657555835154917
Arunachal Pradesh,2016,1,0.0,1.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.08664687883038874,0.49999999999999994,0.8660254037844387,0.12069973893486123,0.0,0.12069973893486123,0.08664687883038874,0.04023324631162041,0.1143281034403751,0.057764585886925825,0.0696860267651597,0.050025598817165826,-0.12069973893486123,0.0,0.05925490365025846
Arunachal Pradesh,2017,1,2.0,0.0,0.0,0.0,1.0986122886681098,0.11720166957980287,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,0.12069973893486123,0.0,0.08664687883038874,0.07930046950488803,0.11480703113027972,0.057764585886925825,0.06869848957637247,0.050025598817165826,0.11720166957980287,-0.08664687883038874,0.05097504976426382
Arunachal Pradesh,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.11720166957980287,0.0,0.12069973893486123,0.0,0.03906722319326762,0.05976685790825422,0.028882292943462912,0.06766641548137277,0.05002559881716583,-0.11720166957980287,0.0,0.04303990035566982
Arunachal Pradesh,2019,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,0.11720166957980287,0.0,0.0,0.03906722319326762,0.03965023475244401,0.0,0.06766641548137277,0.0,0.0,0.0,0.019477861669768774
Arunachal Pradesh,2020,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49999999999999994,0.8660254037844387,0.0,0.0,0.11720166957980287,0.0,0.0,0.03965023475244401,0.0,0.0,0.0,0.0,0.0,0.01166441703111525
Arunachal Pradesh,2021,1,0.0,1.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.08664687883038874,0.49999999999999994,0.8660254037844387,0.0,0.0,0.0,0.0,0.0,0.01953361159663381,0.028882292943462912,0.0,0.05002559881716583,0.0,0.08664687883038874,0.007701944784923448
Assam,2012,1,4.2,0.0,0.0,0.0,1.6486586255873816,0.1758814692672326,0.0,0.0,0.49999999999999994,0.8660254037844387,,,,,0.1758814692672326,0.1758814692672326,0.0,,,,,0.1150030209619099
