Country,State,Year,Additional Information,"Number Of Crimes Or Atrocities (UOM:Number), Scaling Factor:1","Rate Of Total Crime Against Scheduled Tribes(Sts) (UOM:Ratio), Scaling Factor:1","Charge Sheeting Rate (UOM:Ratio), Scaling Factor:1","Number Of Population (UOM:Number), Scaling Factor:100000","Total Rate Of Cognizable Crimes (UOM:Ratio), Scaling Factor:1"
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",,4.0,0.4,75.0,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021",,6.0,2.1,80.0,,
India,West Bengal,"Calendar Year (Jan - Dec), 2021",,92.0,1.7,98.6,,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2020",,2.0,7.0,75.0,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",,320.0,12.2,67.4,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",,0.0,0.0,,,
India,Assam,"Calendar Year (Jan - Dec), 2020",,10.0,0.3,,,
India,Bihar,"Calendar Year (Jan - Dec), 2020",,94.0,7.0,96.2,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2020",,0.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",,502.0,6.4,98.7,,
India,Delhi,"Calendar Year (Jan - Dec), 2020",,1.0,,100.0,,
India,Goa,"Calendar Year (Jan - Dec), 2020",,2.0,1.3,100.0,,
India,Gujarat,"Calendar Year (Jan - Dec), 2020",,291.0,3.3,93.4,,
India,Haryana,"Calendar Year (Jan - Dec), 2020",,0.0,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",,3.0,0.8,100.0,,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2020",,0.0,0.0,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",,347.0,4.0,56.2,,
India,Karnataka,"Calendar Year (Jan - Dec), 2020",,293.0,6.9,85.1,,
India,Kerala,"Calendar Year (Jan - Dec), 2020",,130.0,26.8,81.3,,
India,Ladakh,"Calendar Year (Jan - Dec), 2020",,0.0,0.0,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2020",,1.0,1.6,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",,2401.0,15.7,99.6,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",,663.0,6.3,90.7,,
India,Manipur,"Calendar Year (Jan - Dec), 2020",,2.0,0.2,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",,0.0,0.0,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2020",,0.0,0.0,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2020",,0.0,0.0,,,
India,Odisha,"Calendar Year (Jan - Dec), 2020",,624.0,6.5,96.3,,
India,Puducherry,"Calendar Year (Jan - Dec), 2020",,0.0,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2020",,4.0,,100.0,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",,1878.0,20.3,52.1,,
India,Sikkim,"Calendar Year (Jan - Dec), 2020",,0.0,0.0,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2020",,23.0,2.9,87.5,,
India,Telangana,"Calendar Year (Jan - Dec), 2020",,573.0,17.4,76.6,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2020",,0.0,0.0,100.0,,
India,Tripura,"Calendar Year (Jan - Dec), 2020",,2.0,0.2,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",,3.0,0.3,50.0,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",,13.0,4.5,91.7,,
India,West Bengal,"Calendar Year (Jan - Dec), 2020",,90.0,1.7,89.6,,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2019",,3.0,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",,330.0,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",,0.0,,,,
India,Assam,"Calendar Year (Jan - Dec), 2019",,4.0,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2019",,97.0,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2019",,0.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",,427.0,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2019",,2.0,,,,
India,Goa,"Calendar Year (Jan - Dec), 2019",,2.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2019",,321.0,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2019",,1.0,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",,1.0,,,,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2019",Data of erstwhile Jammu & Kashmir State including Ladakh for 2019,0.0,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",,342.0,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2019",,327.0,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2019",,140.0,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2019",Data of newly created Union Territory for 2019,,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2019",,0.0,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",,1922.0,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",,559.0,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2019",,2.0,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2019",,0.0,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2019",,8.0,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2019",,0.0,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2019",,576.0,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2019",,0.0,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2019",,1.0,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",,1797.0,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2019",,2.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2019",,31.0,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2019",,530.0,,,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2019",Combined data of erstwhile D&N Haveli UT and Daman & Diu UT for 2019,0.0,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2019",,2.0,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",,36.0,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2019",,8.0,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2019",,99.0,,,,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2018",,1.0,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",,330.0,,,,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Assam,"Calendar Year (Jan - Dec), 2018",,6.0,,,,
India,Bihar,"Calendar Year (Jan - Dec), 2018",,64.0,,,,
India,Chandigarh,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2018",,388.0,,,,
India,Delhi,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Goa,"Calendar Year (Jan - Dec), 2018",,5.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2018",,311.0,,,,
India,Haryana,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",,1.0,,,,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2018",Data of newly created Union Territory,0.0,,,,
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",,224.0,,,,
India,Karnataka,"Calendar Year (Jan - Dec), 2018",,322.0,,,,
India,Kerala,"Calendar Year (Jan - Dec), 2018",,138.0,,,,
India,Ladakh,"Calendar Year (Jan - Dec), 2018",Data of newly created Union Territory,,,,,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",,1868.0,,,,
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",,526.0,,,,
India,Manipur,"Calendar Year (Jan - Dec), 2018",,1.0,,,,
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Mizoram,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Nagaland,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Odisha,"Calendar Year (Jan - Dec), 2018",,557.0,,,,
India,Puducherry,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Punjab,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Rajasthan,"Calendar Year (Jan - Dec), 2018",,1095.0,,,,
India,Sikkim,"Calendar Year (Jan - Dec), 2018",,1.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",,15.0,,,,
India,Telangana,"Calendar Year (Jan - Dec), 2018",,419.0,,,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2018",Data of newly created Union Territory,3.0,,,,
India,Tripura,"Calendar Year (Jan - Dec), 2018",,0.0,,,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",,145.0,,,,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",,7.0,,,,
India,West Bengal,"Calendar Year (Jan - Dec), 2018",,101.0,,,,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2017",,2.0,,,0.3,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",,341.0,,,26.3,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2017",,0.0,,,9.5,
India,Assam,"Calendar Year (Jan - Dec), 2017",,65.0,,,38.8,
India,Bihar,"Calendar Year (Jan - Dec), 2017",,80.0,,,13.4,
India,Chandigarh,"Calendar Year (Jan - Dec), 2017",,0.0,,,0.0,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2017",,399.0,,,78.2,
India,Delhi,"Calendar Year (Jan - Dec), 2017",,4.0,,,0.0,
India,Goa,"Calendar Year (Jan - Dec), 2017",,2.0,,,1.5,
India,Gujarat,"Calendar Year (Jan - Dec), 2017",,319.0,,,89.2,
India,Haryana,"Calendar Year (Jan - Dec), 2017",,0.0,,,0.0,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",,3.0,,,3.9,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2017",,0.0,,,14.9,
India,Jharkhand,"Calendar Year (Jan - Dec), 2017",,237.0,,,86.5,
India,Karnataka,"Calendar Year (Jan - Dec), 2017",,401.0,,,42.5,
India,Kerala,"Calendar Year (Jan - Dec), 2017",,144.0,,,4.8,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2017",,0.0,,,0.6,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",,2289.0,,,153.2,
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",,464.0,,,105.1,
India,Manipur,"Calendar Year (Jan - Dec), 2017",,1.0,,,9.0,
India,Meghalaya,"Calendar Year (Jan - Dec), 2017",,0.0,,,25.6,
India,Mizoram,"Calendar Year (Jan - Dec), 2017",,0.0,,,10.4,
India,Nagaland,"Calendar Year (Jan - Dec), 2017",,0.0,,,17.1,
India,Odisha,"Calendar Year (Jan - Dec), 2017",,700.0,,,95.9,
India,Puducherry,"Calendar Year (Jan - Dec), 2017",,0.0,,,0.0,
India,Punjab,"Calendar Year (Jan - Dec), 2017",,0.0,,,0.0,
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",,984.0,,,92.4,
India,Sikkim,"Calendar Year (Jan - Dec), 2017",,6.0,,,2.1,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2017",,22.0,,,7.9,
India,Telangana,"Calendar Year (Jan - Dec), 2017",,435.0,,,32.9,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2017",,50.0,,,2.0,
India,Tripura,"Calendar Year (Jan - Dec), 2017",,1.0,,,11.7,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2017",,88.0,,,11.3,
India,Uttarakhand,"Calendar Year (Jan - Dec), 2017",,11.0,,,2.9,
India,West Bengal,"Calendar Year (Jan - Dec), 2017",,122.0,,,53.0,
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2016",,6.0,,,0.3,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2016",,405.0,,,26.3,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2016",,1.0,,,9.5,
India,Assam,"Calendar Year (Jan - Dec), 2016",,1.0,,,38.8,
India,Bihar,"Calendar Year (Jan - Dec), 2016",,25.0,,,13.4,
India,Chandigarh,"Calendar Year (Jan - Dec), 2016",,0.0,,,0.0,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2016",,402.0,,,78.2,
India,Delhi,"Calendar Year (Jan - Dec), 2016",,2.0,,,0.0,
India,Goa,"Calendar Year (Jan - Dec), 2016",,11.0,,,1.5,
India,Gujarat,"Calendar Year (Jan - Dec), 2016",,281.0,,,89.2,
India,Haryana,"Calendar Year (Jan - Dec), 2016",,0.0,,,0.0,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2016",,2.0,,,3.9,
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2016",,0.0,,,14.9,
India,Jharkhand,"Calendar Year (Jan - Dec), 2016",,280.0,,,86.5,
India,Karnataka,"Calendar Year (Jan - Dec), 2016",,374.0,,,42.5,
