Country,State,Year,Comments,"Number Of Cases Registered On Scheduled Caste (Sc) During The Year (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) During The Year (UOM:Number), Scaling Factor:1","Total Number Of Cases Registered During The Year (Sc+St) (UOM:Number), Scaling Factor:1","Scheduled Caste (Sc) Population As Per 2011 Census  (UOM:Number), Scaling Factor:100000","Scheduled Caste (Sc) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Scheduled Tribe (St) Population As Per 2011 Census (UOM:Number), Scaling Factor:100000","Scheduled Tribe (St) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Number Of Cases Registered On Scheduled Caste (Sc) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1"
India,Manipur,"Calendar Year (Jan - Dec), 2012",,0,2,2,0.97,3.8,9,35.1,,0.2
India,Meghalaya,"Calendar Year (Jan - Dec), 2012",,0,0,0,0.17,0.6,25.5,86.1,,
India,Mizoram,"Calendar Year (Jan - Dec), 2012",,0,0,0,0.1,0.1,10.3,94.4,,
India,Nagaland,"Calendar Year (Jan - Dec), 2012",,0,0,0,,,17.1,86.5,,
India,Odisha,"Calendar Year (Jan - Dec), 2012",,2265,688,2953,71.8,17.1,95.9,22.8,31.5,7.2
India,Puducherry,"Calendar Year (Jan - Dec), 2012",,4,0,4,1.9,15.7,,,2.1,
India,Punjab,"Calendar Year (Jan - Dec), 2012",,71,0,71,88.6,31.9,,,0.8,
India,Rajasthan,"Calendar Year (Jan - Dec), 2012",,5559,1351,6910,122.2,17.8,92.3,13.5,45.5,14.6
India,Sikkim,"Calendar Year (Jan - Dec), 2012",,5,4,9,0.28,4.6,2,33.8,17.9,2
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2012",,1638,27,1665,144.3,20,7.9,1.1,11.4,3.4
India,Telangana,"Calendar Year (Jan - Dec), 2012",,1261.41189684270694272912,275.62346564870171386404,1537.03536249140865659316,57.400862891103495064478,16.4,24.499863613217930121248,7,22,11.3
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2012",,0.00000000000000000000,4.00000000000000000000,4.00000000000000000000,0.1200000000000000000000,2.241479157376714499847,1.8500000000000000000000,23.177717868405924795703,0.886357174708407429096,
India,Tripura,"Calendar Year (Jan - Dec), 2012",,76,29,105,6.5,17.8,11.6,31.8,11.7,2.5
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2012",,6201,44,6245,413.5,20.7,11.3,0.6,15,3.9
India,Uttarakhand,"Calendar Year (Jan - Dec), 2012",,33,3,36,18.9,18.8,2.9,2.9,1.7,1
India,West Bengal,"Calendar Year (Jan - Dec), 2012",,85,91,176,214.6,23.5,52.9,5.8,0.4,1.7
