Country,State,Year,Comments,"Number Of Cases Registered On Scheduled Caste (Sc) During The Year (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) During The Year (UOM:Number), Scaling Factor:1","Total Number Of Cases Registered During The Year (Sc+St) (UOM:Number), Scaling Factor:1","Scheduled Caste (Sc) Population As Per 2011 Census  (UOM:Number), Scaling Factor:100000","Scheduled Caste (Sc) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Scheduled Tribe (St) Population As Per 2011 Census (UOM:Number), Scaling Factor:100000","Scheduled Tribe (St) Population Percentage To Total Population As Per 2011 Census  (UOM:%(Percentage)), Scaling Factor:1","Number Of Cases Registered On Scheduled Caste (Sc) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1","Number Of Cases Registered On Scheduled Tribe (St) Per Lakh Population As Per 2011 Census (UOM:Number), Scaling Factor:1"
India,Mizoram,"Calendar Year (Jan - Dec), 2015",,0,0,0,0.1,0.1,10.3,94.4,,
India,Nagaland,"Calendar Year (Jan - Dec), 2015",,0,0,0,,,17.1,86.5,,
India,Odisha,"Calendar Year (Jan - Dec), 2015",,1821,691,2512,71.8,17.1,95.9,22.8,25.4,7.2
India,Puducherry,"Calendar Year (Jan - Dec), 2015",,2,0,2,1.9,15.7,,,1.1,
India,Punjab,"Calendar Year (Jan - Dec), 2015",,147,0,147,88.6,31.9,,,1.7,
India,Rajasthan,"Calendar Year (Jan - Dec), 2015",,5911,1409,7320,122.2,17.8,92.3,13.5,38,15.3
India,Sikkim,"Calendar Year (Jan - Dec), 2015",,3,0,3,0.28,4.6,2,33.8,10.7,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2015",,1735,25,1760,144.3,20,7.9,1.1,12,3.2
India,Telangana,"Calendar Year (Jan - Dec), 2015",,1292,386,1678,54.3,15.4,32.9,9.3,23.8,11.7
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2015",,2.00000000000000000000,3.00000000000000000000,5.00000000000000000000,0.1200000000000000000000,2.241479157376714499847,1.8500000000000000000000,23.177717868405924795703,21.001794200920846921293,0.664767881031305571822
India,Tripura,"Calendar Year (Jan - Dec), 2015",,1,3,4,6.5,17.8,11.6,31.8,0.1,0.2
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2015",,8357,6,8363,413.5,20.7,11.3,0.6,20.2,0.5
India,Uttarakhand,"Calendar Year (Jan - Dec), 2015",,80,6,86,18.9,18.8,2.9,2.9,4.2,2.1
India,West Bengal,"Calendar Year (Jan - Dec), 2015",,150,84,234,214.6,23.5,52.9,5.8,0.7,1.6
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2014",,0,6,6,,,0.28,7.5,,21.4
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2014",,2104,389,2493,84.5,17.2,26.3,5.4,24.9,14.8
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2014",,0,0,0,,,9.5,68.8,,
India,Assam,"Calendar Year (Jan - Dec), 2014",,2,1,3,22.3,7.2,38.8,12.4,0.08,0.02
India,Bihar,"Calendar Year (Jan - Dec), 2014",,7874,77,7951,165.6,15.9,13.3,1.3,47.5,5.9
India,Chandigarh,"Calendar Year (Jan - Dec), 2014",,1,0,1,1.9,18.9,,,0.5,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2014",,359,475,834,32.7,12.8,78.2,30.6,11,6.1
India,Delhi,"Calendar Year (Jan - Dec), 2014",,86,0,86,28.1,16.8,,,3.1,
