Country,Year,Month,climate_risk,economic_risk,trade_risk,geopolitical_risk,migration_risk,economic_impact,trade_impact,global_risk
IND,2020,1,0.4040462496713528,0.0,0.011045343164156571,0.8783889574846402,0.2312006522013749,0.5117799425213434,0.3328768829058045,0.313026253219596
IND,2020,2,0.5632943729197216,0.3752039797150016,0.011045343164156571,0.9024694730300709,0.2312006522013749,0.598628158809157,0.4901826294554344,0.45145538206952474
IND,2020,3,0.9131186611560458,0.864388024283714,0.011045343164156571,0.9221649242550272,0.2312006522013749,0.779448938294806,0.6917648826504061,0.6651465555157752
IND,2020,4,1.0,1.0,0.011045343164156571,0.8796196101096158,0.2312006522013749,0.8101260134731597,0.7332460786932973,0.7122608213267528
IND,2020,5,0.7262954454709744,0.8583302630899602,0.011045343164156571,0.8708872455421792,0.2312006522013749,0.6706540268384159,0.6739584745590503,0.6066707755534992
IND,2020,6,0.17675631865638355,0.6454253654414047,0.011045343164156571,0.8522743788603877,0.2312006522013749,0.390300603426583,0.5832126554950907,0.41233719610135433
IND,2020,7,0.1163485020289841,0.33537778038317145,0.011045343164156571,0.8624890699280352,0.2312006522013749,0.36316110243317756,0.4622580287920916,0.3217662838934756
IND,2020,8,0.1278657295372604,0.12697458362158867,0.011045343164156571,0.8600006253591991,0.2312006522013749,0.3681731828166649,0.37815021671680765,0.27204710266638177
IND,2020,9,0.12950598297809604,0.0625873014563889,0.011045343164156571,0.8574557800888287,0.2312006522013749,0.3682298559559716,0.35163185026961663,0.2558513764312167
IND,2020,10,0.10451634841680446,0.027922697900011208,0.011045343164156571,0.8362280255966508,0.2312006522013749,0.3493667123276724,0.33139768249941215,0.23669226600336382
IND,2020,11,0.0,0.026084433150761345,0.011045343164156571,0.8285422571032404,0.2312006522013749,0.2948028075712471,0.3283566460516891,0.20856645901316814
IND,2020,12,0.1538718162762742,0.025205658026589223,0.011045343164156571,0.8204857770625059,0.2312006522013749,0.36932177169716385,0.32558819198979994,0.24520342329304676
IND,2021,1,0.04404823540390708,0.021552882561015906,0.008482958587857612,0.7775946242668126,0.1691643576592477,0.28913537651384685,0.2926488476022244,0.19856630178165907
IND,2021,2,0.23295566063745426,0.018731656980653398,0.008482958587857612,0.8058307758374834,0.1691643576592477,0.3920599346018217,0.29999120284128067,0.2507350820090894
IND,2021,3,0.3174454381629674,0.018638270500435362,0.008482958587857612,0.8238155405167801,0.1691643576592477,0.4397002527683672,0.3053492776529825,0.2754311327062725
IND,2021,4,0.6455661276638539,0.019556630411949723,0.008482958587857612,0.8000074864099862,0.1691643576592477,0.5966181812867724,0.2985742053855501,0.35292928423801395
IND,2021,5,0.7929119574763469,0.01903422322135479,0.008482958587857612,0.8425322006574991,0.1691643576592477,0.6830485104672727,0.31112265678356593,0.39814008274299106
